;Titulo;Sinopsis;Genero
268;Austin & Ally;"
'Austin & Ally' es una comedia musical estadounidense creada por los escritores y productores de otras comedias de Disney Channel como 'Sony with a Chance' y 'Jonas L.A.'. La protagonizan Ross Lynch ('Moises rules!', Jessi) y Laura Marano ('Sin rastro', 'FlashForward'), quienes dan vida a Austin y Ally respectivamente.La comedia, multicámara, tiene lugar en Miami y se centra en la relación que mantienen dos músicos muy dispares: Austin Moon y Ally Dawson. Austin es un cantante e instrumentista muy abierto que no termina de salir de un lío y ya se está metiendo en otro. En cambio la compositora y cantante Ally, con un gran talento y muy responsable, tiene pánico escénico. La vida de ambos cambiará cuando Austin, sin permiso de Ally, graba una de sus canciones y alcanza el estrellato.Tras ésto Ally, convencida por su amiga Trish, une su talento al de Austin y al Dez, el mejor amigo de éste, y juntos crean un grupo musical cuyo objetivo es llegar a ser uno de los más importantes y exitosos dentro del mundo de la música.
    
      ";Comedia
269;Da Vinci’s Demons;"
    
              Drama de Starz que se centra en la juventud de uno de los hombres más importantes de la historia y el Renacimiento italiano, Leonardo Da Vinci.Antes de convertirse en el gran genio de la pintura, Leonardo Da Vinci (Tom Riley, 'Monroe') fue un joven pasional y con una mente brillante.  Sin embargo, la vida de Da Vinci guarda muchos secretos que no nos han llegado hasta nuestros días. Secretos que en 'Da Vinci`s Demons' saldrán a la luz, y que nos mostrarán la juventud oculta de uno de los hombres que cambiaría el rumbo de la historia para siempre.Durante su juventud en Florencia, el joven Leonardo experimenta todas las artes: es pintor, inventor, espadachín, amante de mujeres y hombres, soñador e idealista. Y hay algo en él que lo hace especial, una grandeza que lo hará destacar más que cualquier otro hombre de su tiempo y convertirse en uno de los creadores del futuro que conocemos.Cuando Leonardo conoce a Lucrezia Donati (Laura Haddock, 'Arriba y abajo'), la joven y hermosa esposa de Lorenzo de Medici, sentirá que ha encontrado a la musa que necesita para crear sus obras. Poco a poco, el pasional Leonardo no podrá evitar caer en las redes de la joven, con lo que ello conlleva: arriesgar su pellejo frente al marido de Lucrezia, uno de los hombres más poderosos e influyentes del Renacimiento italiano y que puede destruirlo con solo mover un dedo. Leonardo deberá enfrentarse a una dura decisión: luchar por el amor de Lucrezia o entregarse por completo a cultivar su talento. El amor o la eternidad.
    
      ";Aventura, Drama, Histórico
270;Happy!;"
Happy! cuenta la historia de Nick Sax, un ex policía alcohólico y corrupto que vaga por un mundo de asesinatos, sexo y traición. Un día comienza a hablar con un caballo de alas azul, todo producto de su imaginación, pero implacablemente positivo para el desgaste de Sax. La presencia de Happy cambia la vida de Nick para siempre.La serie está basada en el best-seller de Grant Morrison y la novela gráfica de Darick Robetson. Morrison colabora en el guion mientras Patrick Macmanus ejerce como showrunner. Encarna al propio Nick Sax, Christopher Meloni (Marauders), y le acompañan en el reparto Lili Mirojnick (Elementary), que interpreta a la detective Meredith McCarthy y Bobby Moynihan (Hermanísimas), que es el encargado de poner voz a Happy.
    
      ";Comedia, Fantasía, Crimen
271;La que se avecina;"
Adaptación de la popular serie de Antena 3 'Aquí no hay quien viva', 'La que se avecina' nos traslada hasta la Urbanización Mirador de Montepinar, que por fin está completa y habitable. Sin embargo, los pisos son defectuosos, los timbres no funcionan, las paredes son de papel, el conserje Maxi (Eduardo Gómez 'Aquí no hay quien viva') tiene un más que dudoso currículum, y cada apartamento se ha llenado con un particular inquilino. Algunos vecinos, como Enrique Pastor (José Luis Gil 'Aquí no hay quien viva', 'Fuga de cerebros') y Antonio Recio (Jordi Sánchez) viven en eternas disputas en las que también toman parte sus cónyuges, Araceli (Isabel Ordaz 'Pepa y Pepe', 'Todos los hombres sois iguales') y Berta (Nathalie Seseña 'Farmacia de guardia', 'Airbag', Marujas asesinas') respectivamente. Otros, como Izaskun (Mariví Bilbao 'La comunidad') y Mari Tere (Gemma Cuervo 'Médico de familia', 'Amar en tiempos revueltos') hacen del cotilleo su forma de vida. Poco afortunadas son las familias primerizas del bloque que sufren todo esto en su nuevo y ""dulce"" hogar.'La que se avecina' cuenta con la mayor parte del elenco de actores de su hermana mayor. Esto se debe a la compra por parte de Telecinco de la un alto porcentaje de la productora de 'Aquí no hay quien viva'. Tras esto, la productora se vio obligada a hacer drásticos cambios en el argumento pero manteniendo la esencia de su predecesora.
";Comedia
272;Misterio en Anubis;"
    
              'Misterio en Anubis' se trata de una adaptación estadounidense de la serie belga 'Het Huis Anubis en de Vijf van het Magische Zwaard' y su remake 'Das Haus Anubis'. Cada temporada se centra en una trama distinta pero todas se complementan entre ellas, girando en torno a un misterio o personaje específico.La serie sigue la historia de Nina que llegó a Anubis y poco después, desapareció Joy. A este misterio sin resolver, hay que añadirle la presencia de un supervisor un poco inquietante que tiene un cuervo como mascota. Además, en Anubis hay un ático que parece encantado.Está creada por Hans Bourlon y Gert Verhulst para la cadena estadounidense Nickelodeon. Los principales actores que protagonizan esta ficción son Nathalia Ramos ('Gallows Hill'), Brad Kavanagh, Jade Ramsey ('Gamer'), Ana Mulvoy Ten ('Red Faction: Origins'), Bobby Lockwood, Tasie Dhanraj, Eugene Simon ('Juego de Tronos'), entre otros.
    
      ";Drama
273;Touch;"
    
              De manos de la cadena Fox, el creador de 'Héroes' Tim Kring repite con lo sobrenatural en 'Touch', un drama que supone el regreso de Kiefer Sutherland a la televisión tras dar vida al inolvidable y heroico Jack Bauer en '24'. En ella deja de lado el debate moral para interpretar a Martin Bohm, un ex periodista que perdió a su mujer en los atentados del 11 de septiembre y que descubre que su hijo autista Jake (David Mazouz 'Mike y Molly', 'Sin cita previa') -narrador de la serie- tiene la extraña habilidad de predecir acontecimientos antes de que estos sucedan. Además de con Sutherland y Mazouz, 'Touch' cuenta con las actuaciones de Danny Glover ('Arma letal', 'El color púrpura'), que encarna a Arthur DeWitt, un experto en niños que manejan dones especiales, y de Gugu Mbatha-Raw ('Undercovers'), que se mete en la piel de Clea Hopkins, una trabajadora social que debe evaluar la situación familiar de los Bohm. Fox ya la describe como ""un distinto y colorido drama en el que la ciencia y la espiritualidad se cruzan"".
    
      ";Drama, Ciencia ficción
274;Inhibidos;"
Juan, Lidia, Toni, Claudia y María son un grupo de jóvenes que, después de algún tiempo, deciden reencontrarse pasando un fin de semana juntos en una casa rural. La serie comienza poniéndonos al día de las vidas de estos personajes, amigos de toda la vida, y señalando los detalles de su personalidad, siendo todos distintos entre ellos pero complementándose a la perfección.Sin embargo, al despertarse después de su primera noche juntos, descubren que han sido secuestrados y que están completamente encerrados en la casa. Así, poco a poco y afectados por el hambre y la angustia, cada uno saca lo peor de sí mismo.Inhibidos es una webserie de siete capítulos caracterizada por un joven reparto actoral y emitida por TVE en su plataforma de 'streaming' Playz.
";Drama
275;Scream;"
    
              Un brutal asesinato después de un intimidante acoso cibernético sucede en Lakewood, lo que despierta viejos recuerdos del pasado. Lo que ocurrió hace 20 años y que puso en alerta a la comunidad está volviendo a pasar. Un grupo de adolescentes se convierten en el objetivo de un peligroso asesino, pero sobre todo una de los adolescentes. Emma Duval es la chica que más obsesiona al asesino, toda su familia y amigos corren peligro así que esta se propone desenmascararle.La ficción televisiva está creada por Jill E. Blotevogel, Jay Beattie y Dan Dworkin. La producción de Dimension Films, MTV y distribuida por Netflix está protagonizada por Willa Fitzgerald (Royal Pains), Bex Taylor-Klaus (Voltron: Legendary Defender) , John Karna (Sugar Mountain), Amadeus Serafini (Smoke), Connor Weil (Death Clique), Carlson Young (A Man for Every Month), Jason Wiles (Alerta Amber. Huida hacia la vida) y Tracy Middendorf (The Last Ship).
    
      ";Drama, Terror
276;The Closer;"
    
              Drama criminal creado por James Duff, Michael M. Robin ('Nip/Tuck, a golpe de bisturí', 'Rizzoli & Isles') y Greer Shephard ('Nip/Tuck, a golpe de bisturí', 'Trust Me', 'Popular') que sigue las investigaciones de Brenda Leigh Johnson (Kyra Sedgwick, 'Queens Supreme'), una detective que hara lo necesario para resolver los casos que llegan hasta sus manos aunque tenga que usar métodos de cuestionable validez.La protagonista es una agente que es trasladada a la ciudad de Los Ángeles para liderar el Escuadrón de Asesinatos Prioritarios de la CIA, un equipo formado por policías altamente cualificados que tendrá que lidiar con los asesinos más mediáticos. La adaptación de Johnson a su nuevo entorno de trabajo no será precisamente fácil, especialmente cuando sus técnicas chocan con el 'modus operandi' de sus nuevos compañeros.El resto de personajes que completa el Escuadrón de Asesinatos Prioritarios es el siguiente: David Gabriel (Corey Reynolds, 'The Guardian'), Louie Provenza (G. W. Bailey), Andy Flynn (Tony Denison, 'Prison Break'), Michael Tao (Michael Paul Chan ,'Arrested Development), Julio Sanchez (Raymond Cruz, 'Breaking Bad') y Buzz Watson (Phillip P. Keene).
    
      ";Drama, Crimen, Judicial
277;The Killing;"
    
              'The Killing' es un drama criminal que se presenta como la adaptación americana del 'thriller' danés de gran éxito 'Forbrydelsen' y que sigue la investigación del cruel crimen contra una joven en Seattle. La produción, desarrollada por Veena Sud y producida por los estudios Fox y Fuse Entertainment, aborda el asesinato de Rosie Larsen (Katie Findlay) conectando las diferentes historias de los implicados en el suceso: los policías asignados al caso, la familia de la víctima y los principales sospechosos. La detective que encabeza esta investigación es Sarah Linden (Mireille Enos, 'Big Love'), que interrumpe su traslado a una nueva comisaria para dar con el culpable. En el transcurso de la serie se descubre que todos tienen algún secreto que esconder e, incluso cuando piensan que han pasado página, acaban descubriendo que su pasado todavía no ha terminado de rendirles cuentas.El resto de personajes involucrados en el caso lo completan: Darren Richmond (Billy Campbell, 'Once and Again'), Presidente del City Council de Seattle; Stephen Holder, un ex policía de la brigada antidrogas trasladado a homicidios; y, por último, los padres de Rosie: Stan (Brent Sexton) y Mitch Larsen (Michelle Forbes, 'True Blood').
    
      ";Drama, Crimen, Suspense
